name,type,epoch,q,e,inc,w,omega,Tp,info,wiki,wikipic
1P/Halley,2,49400.0,0.58597811,0.96714291,162.26269,111.33249,58.42008,19860205.89532,,Halley%27s_Comet,thumb/2/2a/Lspn_comet_halley.jpg/420px-Lspn_comet_halley.jpg
2P/Encke,4,57210.0,0.33596164,0.84833479,11.78163,186.54591,334.56795,20131121.80139,,Comet_Encke,thumb/a/a1/Comet_Encke.jpg/450px-Comet_Encke.jpg
7P/Pons-Winnecke,4,53599.0,1.25551329,0.63452393,22.30263,172.26125,93.42327,20080926.6786,,7P/Pons-Winnecke,thumb/5/57/Artists_Concept_1921_Pons%E2%80%93Winnecke.jpg/330px-Artists_Concept_1921_Pons%E2%80%93Winnecke.jpg
8P/Tuttle,4,54453.0,1.02713126,0.81983096,54.98331,207.50713,270.34159,20080127.0234,,8P/Tuttle,thumb/2/2e/07-1230_8PTuttle%2BM33_martinez_vcastro_IMG_1912.JPG/450px-07-1230_8PTuttle%2BM33_martinez_vcastro_IMG_1912.JPG
12P/Pons-Brooks,4,39405.0,0.77801865,0.95422024,74.70375,199.09363,255.95951,19540523.17593,,12P/Pons-Brooks,
13P/Olbers,4,35760.0,1.17845061,0.93029715,44.60989,64.64121,86.10313,19560619.13533,,13P/Olbers,
15P/Finlay,4,56406.0,0.97465031,0.72046703,6.80366,347.56561,13.80064,20141226.93459,,15P/Finlay,
21P/Giacobini-Zinner,4,58062.0,1.01350122,0.71046631,32.0031,172.8087,195.40525,20180910.26543,,21P/Giacobini-Zinner,thumb/6/6d/Comet_21P_Giacobini-Zinner_September_2018.jpg/375px-Comet_21P_Giacobini-Zinner_September_2018.jpg
23P/Brorsen-Metcalf,4,47800.0,0.47875271,0.97195226,19.33394,129.61068,311.58546,19890911.93743,,23P/Brorsen-Metcalf,
24P/Schaumasse,4,57350.0,1.20616902,0.70483774,11.73398,58.00232,79.66578,20171116.76082,,24P/Schaumasse,7/7f/Com%C3%A8te_Schaumasse.jpg
26P/Grigg-Skjellerup,4,54326.0,1.11673632,0.63305277,22.35649,1.70407,211.71032,20080323.67902,,26P/Grigg-Skjellerup,thumb/a/a1/Grigg-Skjellerup_Eso9209a.jpg/375px-Grigg-Skjellerup_Eso9209a.jpg
27P/Crommelin,4,56364.0,0.74828747,0.91898109,28.96687,196.0254,250.62641,20110803.89109,,27P/Crommelin,
35P/Herschel-Rigollet,4,29480.0,0.74849,0.97405,64.207,29.298,355.98,19390809.464,,35P/Herschel-Rigollet,
41P/Tuttle-Giacobini-Kresak,4,57844.0,1.04504274,0.66125069,9.22913,62.15859,141.06629,20170412.75225,,41P/Tuttle-Giacobini-Kresak,thumb/d/de/41P_Tuttle-Giacobini-Kresak_near_M108_and_M97_-_2017-03-22.jpg/330px-41P_Tuttle-Giacobini-Kresak_near_M108_and_M97_-_2017-03-22.jpg
45P/Honda-Mrkos-Pajdusakova,4,57798.0,0.53251298,0.82397287,4.24817,326.28194,88.98178,20161231.26575,,45P/Honda-Mrkos-Pajdusakova,thumb/c/ce/Comet_45P_on_Feb_10%2C_2017.jpg/330px-Comet_45P_on_Feb_10%2C_2017.jpg
46P/Wirtanen,4,58465.0,1.05535577,0.65875972,11.74759,356.34109,82.15764,20181212.9312,,46P/Wirtanen,thumb/0/05/Comet_46P_Wirtanen_on_12_December_2018_%28cropped%29.png/330px-Comet_46P_Wirtanen_on_12_December_2018_%28cropped%29.png
55P/Tempel-Tuttle,4,51040.0,0.97642792,0.90555272,162.48658,172.50027,235.27099,19980228.09773,,55P/Tempel-Tuttle,
66P/du Toit,4,56961.0,1.28545145,0.78656817,18.66897,257.34273,21.99985,20180520.46895,,66P/du Toit,
67P/Churyumov-Gerasimenko,2,56445.0,1.24286593,0.64118054,7.04345,12.74507,50.16855,20150812.84941,,67P/Churyumov-Gerasimenko,thumb/8/81/Comet_67P_on_19_September_2014_NavCam_mosaic.jpg/450px-Comet_67P_on_19_September_2014_NavCam_mosaic.jpg
72P/Denning-Fujikawa,4,56981.0,0.78416121,0.81915453,9.16928,337.85804,36.1092,20140711.63722,,72P/Denning-Fujikawa,
73P/Schwassmann-Wachmann,4,57800.0,0.97217722,0.68552365,11.23693,199.38927,69.66171,20170316.8424,,73P/Schwassmann-Wachmann,thumb/3/30/06-0419_sw3_fal_martinez_vcastro.com_IMG_9799.JPG/390px-06-0419_sw3_fal_martinez_vcastro.com_IMG_9799.JPG
79P/du Toit-Hartley,4,56558.0,1.12380532,0.61851349,3.14562,281.68932,280.64034,20130823.28589,,79P/du Toit-Hartley,
85P/Boethin,4,54252.0,1.13465745,0.78116063,4.29529,37.61838,359.39611,20081212.74656,,85P/Boethin,
96P/Machholz,4,54773.0,0.12371423,0.95920748,58.53858,14.74631,94.35081,20070405.65608,,96P/Machholz,thumb/4/4b/96P_20070403_000500_HI1A.png/413px-96P_20070403_000500_HI1A.png
Tesla Roadster,4,58164.5,0.986059,0.25854699,1.08845,177.3203,317.3549,20180204.125,,Elon_Musk's_Tesla_Roadster,thumb/1/1a/Elon_Musk%27s_Tesla_Roadster_%2840110297852%29.jpg/390px-Elon_Musk%27s_Tesla_Roadster_%2840110297852%29.jpg
