num,name,epoch,a,e,inc,w,omega,m,H,G,info,wiki,wikipic
719.0,Albert,59000,2.6386021,0.54655847,11.56748,156.17634,183.86695,140.2734218,15.5,0.15,,,
887.0,Alinda,59000,2.4737369,0.57033172,9.39385,350.49556,110.43424,294.5791719,13.8,-0.12,,,
1036.0,Ganymed,59000,2.6647246,0.53304613,26.67764,132.36463,215.54683,4.8177441,9.4,0.3,,,f/fd/001036-asteroid_shape_model_%281036%29_Ganymed.png
1943.0,Anteros,59000,1.4304622,0.25599517,8.7062,338.37397,246.32977,188.2367855,15.6,0.15,,,
3122.0,Florence,59000,1.7689749,0.4229446,22.1425,27.84782,336.06386,50.4377945,14.1,0.15,,,thumb/0/0b/Triple_asteroid_3122_Florence.gif/250px-Triple_asteroid_3122_Florence.gif
3200.0,Phaethon,59000,1.2713679,0.88983112,22.25951,322.18671,265.21769,228.9572436,14.3,0.15,,,2/2e/PIA22185.gif
3288.0,Seleucus,59000,2.0331786,0.45611595,5.92993,349.34077,218.63981,57.0864982,15.2,0.15,,,
3752.0,Camillo,59000,1.4135638,0.30167188,55.55754,312.21755,147.96693,150.4557117,15.3,0.15,,,thumb/0/00/3752_Camillo_Radar.jpg/250px-3752_Camillo_Radar.jpg
3753.0,Cruithne,59000,0.997697,0.51484423,19.80628,43.83759,126.22509,166.4702124,15.6,0.15,,,thumb/e/ee/Cruithne.jpg/250px-Cruithne.jpg
4183.0,Cuno,59000,1.9830722,0.63413876,6.70404,236.34901,294.86749,331.3505301,14.1,0.15,,,thumb/9/9c/4183_cuno.jpg/255px-4183_cuno.jpg
6178.0,1986 DA,59000,2.8208779,0.58196011,4.30484,127.35963,64.61741,81.0857767,15.8,0.15,,,
53319.0,1999 JM8,59000,2.7254691,0.64168247,13.84073,166.80595,133.61831,237.9150307,15.2,0.15,,,
153591.0,2001 SN263,59000,1.9874816,0.47849263,6.68926,172.94839,325.76735,140.3783798,16.9,0.15,,,
163693.0,Atira,59000,0.7410263,0.3221247,25.61987,252.91203,103.88631,186.9461565,16.3,0.15,,,d/de/Atira.20jan17.u2.s1p0.gif
285263.0,1998 QE2,59000,2.4237722,0.5715817,12.85876,345.70352,250.13019,310.8126759,17.2,0.15,,,
679885,(2021 NQ5),60600,1.611,0.4937,1.42,299.07,115.35,166.37,21.12,,,,
177049,(2003 EE16),60600,1.418,0.6143,0.65,259.5,127.23,5.13,19.85,,,,
620100,(2016 WJ1),60600,1.34,0.5031,2.89,87.77,81.99,345.15,21.35,,,,
523654,(2011 SR5),60600,1.178,0.7057,29.13,305.55,180.1,36.93,20.95,,,,
367789,(2011 AG5),60600,1.424,0.3882,3.69,54.05,135.59,336.11,21.77,,,,
164207,(2004 GU9),60600,1.001,0.1359,13.65,279.48,38.41,63.63,21.18,,,,
163132,(2002 CU11),60600,1.22,0.2952,48.78,110.53,157.74,229.17,18.61,,,,
529366,(2009 WM1),60600,1.181,0.1689,25.77,162.64,240.25,241.67,20.42,,,,
620095,(2016 CB194),60600,2.512,0.6322,9.88,325.74,48.47,119.35,17.7,,,,
37638, 37638 (1993 VB),60600,1.913,0.5199,5.08,323.2,145.56,236.56,19.28,,,,
143487,(2003 CR20),60600,2.124,0.7301,4.99,88.83,177.06,329.95,18.94,,,,
35396, 35396 (1997 XF11),60600,1.442,0.4837,4.1,103.04,213.65,272.13,17.01,,,,
308635,(2005 YU55),60600,1.157,0.4305,0.34,273.56,35.93,189.35,21.91,-0.12,,,
31669, 31669 (1999 JT6),60600,2.137,0.5776,9.54,39.1,78.77,97.39,16.09,,,,
297300,(1998 SC15),60600,1.273,0.4144,16.08,277.49,198.68,337.6,19.29,,,,
137108,(1999 AN10),60600,1.459,0.5621,39.93,268.33,314.34,177.03,18.05,,,,
89958, 89958 (2002 LY45),60600,1.642,0.8864,9.91,222.94,188.16,186.1,17.21,,,,
612337,(2002 EY2),60600,1.725,0.4866,21.73,51.1,343.39,67.64,19.45,,,,
434734,(2006 FX),60600,1.495,0.438,24.64,299.49,181.15,83.19,20.02,,,,
612901,(2004 XP14),60600,1.052,0.1586,32.95,273.74,281.01,54.12,19.79,,,,
7482,  7482 (1994 PC1),60600,1.349,0.3294,33.47,47.49,117.85,246.56,16.66,,,,
292220,(2006 SU49),60600,1.412,0.3117,2.52,199.1,303.06,153.84,19.39,,,,
433953,(1997 XR2),60600,1.076,0.2008,7.19,84.65,250.66,91.54,20.96,,,,
471240,(2011 BT15),60600,1.293,0.3024,1.66,308.81,105.35,147.3,21.7,,,,
267337,(2001 VK5),60600,1.269,0.514,19.43,263.93,54.22,64.72,18.06,,,,
585310,(2017 YZ1),60600,1.328,0.3351,20.87,298.49,277.7,99.8,20.43,,,,
442037,(2010 PR66),60600,2.927,0.6872,17.6,319.52,292.75,310.29,19.27,,,,
85236, 85236 (1993 KH),60600,1.234,0.311,12.81,293.82,54.36,252.62,18.75,,,,
141495,(2002 EZ11),60600,1.114,0.8021,2.35,317.78,51.88,194.78,18.47,,,,
89959, 89959 (2002 NT7),60600,1.735,0.5284,42.36,300.71,132.0,206.61,16.57,,,,
216985,(2000 QK130),60600,1.181,0.262,4.72,66.4,173.81,358.14,21.34,,,,
614433,(2009 KK),60600,1.502,0.4552,18.21,247.34,68.12,95.41,20.58,,,,
162416,(2000 EH26),60600,1.855,0.478,0.4,19.22,215.25,243.9,21.67,,,,
523662,(2012 MU2),60600,2.055,0.5138,11.22,16.6,250.3,64.04,20.77,,,,
85640, 85640 (1998 OX4),60600,1.58,0.4859,4.52,117.3,299.57,15.27,21.14,,,,
620066,(2010 SC41),60600,1.866,0.6068,0.25,267.58,235.53,142.47,19.86,,,,
484506,(2008 ER7),60600,1.486,0.6241,2.24,81.04,323.41,117.92,20.16,,,,
101869,(1999 MM),60600,1.624,0.6109,4.77,268.84,110.92,52.69,19.47,,,,
144898,(2004 VD17),60600,1.508,0.5886,4.22,90.98,223.98,306.24,18.89,,,,
330233,(2006 KV86),60600,1.543,0.374,37.08,153.86,220.04,90.72,18.82,,,,
143651,(2003 QO104),60600,2.133,0.5262,11.62,183.6,58.17,335.5,16.09,,,,
153814,(2001 WN5),60600,1.712,0.467,1.92,44.67,277.35,110.47,18.29,,,,
152685,(1998 MZ),60600,1.346,0.5729,0.15,39.24,122.28,349.07,19.34,,,,
373135,(2011 SD173),60600,1.653,0.4974,4.39,59.49,203.12,122.83,19.52,,,,
508967,(2004 VC17),60600,1.895,0.8109,20.4,65.16,229.17,247.56,18.49,,,,
405212,(2003 QC10),60600,1.373,0.7313,5.04,120.87,359.96,17.92,18.04,,,,
549948,(2011 WL2),60600,1.078,0.2834,14.13,88.85,212.91,275.83,20.84,,,,
530520,(2011 LT17),60600,1.1,0.2874,20.9,270.62,83.45,146.2,21.85,,,,
436724,(2011 UW158),60600,1.621,0.3765,4.57,8.82,285.95,174.09,19.98,,,,
438908,(2009 XO),60600,1.859,0.5434,0.35,140.52,27.95,287.57,20.63,,,,
415745,(2000 GV147),60600,1.747,0.457,10.56,216.11,68.64,194.22,19.34,,,,
356991,(1998 QA1),60600,2.102,0.5339,8.19,333.15,298.85,223.83,19.07,,,,
231937,(2001 FO32),60600,1.699,0.8258,39.01,123.36,181.71,202.09,17.58,,,,
332446,(2008 AF4),60600,1.38,0.4101,8.93,293.35,109.31,146.62,19.69,,,,
444193,(2005 SE71),60600,1.069,0.1944,24.83,78.29,39.1,22.73,18.19,,,,
90416, 90416 (2003 YK118),60600,1.695,0.4924,7.83,233.29,326.76,117.11,18.86,,,,
454101,(2013 BP73),60600,1.328,0.6287,6.85,251.89,80.03,323.38,20.45,,,,
269690,(1996 RG3),60600,2.001,0.6037,3.58,300.27,158.05,297.31,18.47,,,,
171576,(1999 VP11),60600,1.086,0.5836,17.28,61.74,208.08,111.24,18.68,,,,
387668,(2002 SZ),60600,1.297,0.4335,22.89,276.56,346.84,22.88,20.51,,,,
279744,(1998 KM3),60600,1.67,0.6108,4.66,85.36,263.02,37.82,19.86,,,,
371660,(2007 CN26),60600,1.292,0.2693,7.59,135.69,159.27,231.68,21.11,,,,
497117,(2004 FU4),60600,1.26,0.2639,23.25,46.31,31.56,296.47,18.33,,,,
509456,(2007 LF),60600,1.682,0.4198,6.99,333.92,239.39,359.45,20.57,,,,
2201,  2201 Oljato (1947 XC),60600,2.179,0.7107,2.52,98.37,74.87,334.42,15.36,,,,
163373,(2002 PZ39),60600,1.469,0.5465,1.67,260.13,328.77,196.11,19.03,,,,
482488,(2012 SW20),60600,2.462,0.6785,10.16,62.39,209.59,63.97,19.77,,,,
523685,(2014 DN112),60600,1.848,0.4939,4.3,145.91,260.18,143.77,20.04,,,,
436329,(2010 GX62),60600,2.971,0.699,21.83,317.0,206.93,316.16,20.09,,,,
20425, 20425 (1998 VD35),60600,1.565,0.4764,6.99,296.32,227.25,32.7,20.51,,,,
678927,(2018 BP),60600,1.557,0.3977,3.33,216.51,183.28,197.14,20.56,,,,
620071,(2011 WN15),60600,1.217,0.858,33.43,218.57,75.55,249.46,19.64,,,,
518640,(2008 KZ5),60600,1.844,0.4545,8.36,194.42,142.55,160.69,20.05,,,,
4581,  4581 Asclepius (1989 FC),60600,1.023,0.357,4.92,255.38,180.2,212.12,20.74,,,,
