"full_name","a","e","i","om","w","H","pha","G","pdes","ma","moid","diameter","epoch_mjd"
"  1566 Icarus (1949 MA)",1.078,0.8270,22.80,87.95,31.43,16.57,Y,,1566,160.86,0.0342,1.0,60600
"  1620 Geographos (1951 RA)",1.246,0.3356,13.34,337.15,277.01,15.27,Y,,1620,289.36,0.03,2.56,60600
"  1862 Apollo (1932 HA)",1.471,0.5599,6.35,35.56,286.03,16.08,Y,0.09,1862,252.87,0.026,1.5,60600
"  1981 Midas (1973 EA)",1.776,0.6505,39.82,356.80,267.84,15.28,Y,,1981,258.81,0.00488,3.4,60600
"  2101 Adonis (1936 CA)",1.874,0.7642,1.32,349.43,43.69,18.72,Y,,2101,230.82,0.0116,0.6,60600
"  2102 Tantalus (1975 YA)",1.29,0.2993,64.00,94.35,61.52,16.00,Y,,2102,78.27,0.0436,1.649,60600
"  2135 Aristaeus (1977 HA)",1.6,0.5030,23.07,191.11,290.97,18.05,Y,,2135,202.31,0.011,,60600
"  2201 Oljato (1947 XC)",2.179,0.7107,2.52,74.87,98.37,15.36,Y,,2201,334.42,0.00259,1.80,60600
"  3200 Phaethon (1983 TB)",1.271,0.8898,22.31,265.10,322.31,14.40,Y,,3200,248.98,0.0187,6.25,60600
"  3361 Orpheus (1982 HR)",1.21,0.3229,2.66,188.68,302.34,19.56,Y,,3361,24.54,0.0138,0.3,60600
"  3671 Dionysus (1984 KD)",2.2,0.5420,13.54,82.05,204.33,16.50,Y,,3671,131.35,0.022,1.5,60600
"  3757 Anagolay (1982 XB)",1.834,0.4459,3.87,74.93,17.24,19.04,Y,,3757,293.70,0.0372,0.5,60600
"  4015 Wilson-Harrington (1979 VA)",2.626,0.6312,2.80,266.73,95.52,16.19,Y,,4015,181.75,0.0429,4,60600
"  4034 Vishnu (1986 PA)",1.06,0.4441,11.17,157.89,296.70,18.52,Y,,4034,260.40,0.0195,0.42,60600
"  4179 Toutatis (1989 AC)",2.543,0.6248,0.45,125.36,277.88,15.31,Y,0.10,4179,339.68,0.00649,5.4,60600
"  4183 Cuno (1959 LM)",1.981,0.6361,6.67,294.35,237.02,14.17,Y,,4183,175.91,0.0281,3.651,60600
"  4450 Pan (1987 SY)",1.443,0.5866,5.52,311.70,291.94,17.28,Y,,4450,192.17,0.0289,,60600
"  4486 Mithra (1987 SB)",2.205,0.6620,3.04,82.18,169.12,15.61,Y,,4486,156.61,0.0462,1.849,60600
"  4581 Asclepius (1989 FC)",1.023,0.3570,4.92,180.20,255.38,20.74,Y,,4581,212.12,0.00313,,60600
"  4660 Nereus (1982 DB)",1.485,0.3587,1.45,313.11,159.54,18.75,Y,,4660,191.96,0.00367,0.33,60600
"  4769 Castalia (1989 PB)",1.063,0.4832,8.88,325.51,121.44,17.50,Y,,4769,324.11,0.0205,1.4,60600
"  4953 (1990 MU)",1.621,0.6574,24.38,77.53,77.93,14.94,Y,,4953,285.02,0.0259,,60600
"  5011 Ptah (6743 P-L)",1.636,0.5001,7.41,10.63,105.94,16.70,Y,,5011,173.66,0.0252,,60600
"  5189 (1990 UQ)",1.552,0.4783,3.58,135.05,159.95,17.84,Y,,5189,257.64,0.0448,,60600
"  5693 (1993 EA)",1.271,0.5851,5.06,96.98,258.98,16.79,Y,,5693,203.14,0.00577,,60600
"  6037 (1988 EG)",1.272,0.4997,3.51,182.18,242.32,18.87,Y,,6037,249.72,0.0241,,60600
"  6239 Minos (1989 QF)",1.151,0.4126,3.94,344.53,239.77,18.61,Y,,6239,224.50,0.0263,,60600
"  6489 Golevka (1991 JX)",2.484,0.6151,2.27,209.42,68.66,19.22,Y,,6489,151.88,0.024,0.53,60600
"  7335 (1989 JA)",1.772,0.4846,15.17,61.28,232.27,17.70,Y,,7335,349.17,0.0231,1.8,60600
"  7341 (1991 VK)",1.841,0.5061,5.41,294.73,173.48,16.96,Y,,7341,37.89,0.0471,0.982,60600
"  7482 (1994 PC1)",1.349,0.3294,33.47,117.85,47.49,16.66,Y,,7482,246.56,0.000596,1.052,60600
"  7753 (1988 XB)",1.467,0.4817,3.12,73.39,280.08,18.02,Y,,7753,95.85,0.00655,,60600
"  7822 (1991 CS)",1.123,0.1646,37.12,156.84,249.45,17.34,Y,,7822,182.35,0.0226,1.602,60600
"  8014 (1990 MF)",1.747,0.4560,1.87,209.84,114.73,18.88,Y,,8014,291.48,0.0169,0.7,60600
"  8566 (1996 EN)",1.506,0.4302,37.97,164.12,125.13,16.48,Y,,8566,90.11,0.0214,1.568,60600
